FAO_commodity,assingment
"Cods, hakes, haddocks, etc.  fillets in blocks, frozen, nei",low
"Cods, hakes, haddocks, etc. nei fillets in blocks, frozen",low
"Gadiformes excl. Alaska pollock, meat, whether or not minced, frozen",low
"Gadiformes fillets, fresh or chilled",low
"Gadiformes fillets, fresh or chilled, nei",low
"Gadiformes fillets, frozen",low
"Gadiformes fillets, frozen, nei",low
"Gadiformes nei, dried and salted",unsure
"Gadiformes nei, dried, unsalted",unsure
"Gadiformes nei, frozen",low
"Gadiformes, dried, salted or in brine, nei",unsure
"Gadiformes, dried, whether or not salted, but not smoked",unsure
"Gadiformes, fillets, dried, salted or in brine, not smoked",unsure
"Gadiformes, fresh or chilled, nei",low
"Gadiformes, meals, nei",high
"Gadiformes, meat, fresh or chilled, nei",low
"Gadiformes, meat, whether or not minced, frozen, nei",low
"Gadiformes, minced, prepared or preserved, nei",high
"Gadiformes, not minced, prepared or preserved",unsure
"Gadiformes, salted and dried",unsure
"Gadiformes, salted or in brine, nei",unsure
"Gadiformes, smoked",high
"Gadoid fish meals, nei",high
Preparations of surimi,high
"White-fish meal, nei",high
"Greenland cod, frozen",low
"Grenadiers fillets, fresh or chilled",low
"Grenadiers fillets, frozen",low
"Grenadiers, fresh or chilled",low
"Grenadiers, frozen",low
"Haddock dried, whether or not salted, but not smoked",unsure
"Haddock fillets in blocks, frozen",low
"Haddock fillets, fresh or chilled",low
"Haddock fillets, frozen",low
"Haddock meat, frozen",low
"Haddock, fresh or chilled",low
"Haddock, frozen",low
"Haddock, minced, frozen",high
"Haddock, salted or in brine",unsure
"Haddock, smoked",high
"Hake fillets in blocks, frozen",low
Hake liver oil,high
"Hake meat, frozen",low
"Hake minced, frozen",low
"Hake nei fillets, fresh or chilled",low
"Hake nei fillets, frozen",low
"Hake nei, fresh or chilled",low
"Hake nei, frozen",low
"Hake portions and sticks, frozen",high
"Hake, not minced, prepared or preserved",unsure
"Hakes nei, frozen",low
"Hakes, dried, salted or in brine",unsure
"Hakes, dried, unsalted",unsure
"Hakes, dried, whether or not salted, but not smoked",unsure
"Hakes, salted or in brine",unsure
"Hake of the genus Urophycis, fillets, frozen",low
"Hake of the genus Urophycis, fresh or chilled",low
"Hake of the genus Urophycis, frozen",low
"Ling fillets, frozen",low
"Ling meat, whether or not minced, frozen",low
"Ling, dried, salted or in brine",unsure
"Ling, dried, whether or not salted, but not smoked",unsure
"Ling, fresh or chilled",low
"Ling, frozen",low
"Ling, minced, frozen",high
"Pacific cod fillets, fresh or chilled",low
"Pacific cod fillets, frozen",low
"Pacific cod, fresh or chilled",low
"Pacific cod, frozen",low
"Pacific cod, meat, frozen",low
